,SMILES,Standard Value,pIC50
CHEMBL1087419,Oc1ccc2c(c1)OC(c1ccc(OCCN3CCCCC3)cc1)C1=C2CCOc2cc(O)ccc21,31,7.508638306
CHEMBL183489,C[C@@H]1CCCN1CCOc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,21,7.677780705
CHEMBL191646,Oc1cccc(N2CCc3cc(O)ccc3C2c2ccc(N3CCN(C4CCCCC4)CC3)cc2)c1,1285,5.891096872
CHEMBL183388,CC[C@@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,24,7.619788758
CHEMBL431611,Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,31,7.508638306
CHEMBL3589363,O=C(O)CCCCCCC(=O)Nc1ccc(C2=C(c3ccc(O)cc3)C3CC(S(=O)(=O)Oc4ccc(Br)cc4)C2O3)cc1,250,6.602059991
CHEMBL3589695,Cc1cccc(OS(=O)(=O)C2CC3OC2C(c2ccc(NC(=O)CCCCCCC(=O)NO)cc2)=C3c2ccc(O)cc2)c1,613,6.212539525
CHEMBL1447732,O=C(Nc1cccc2cccc(NC(=O)c3ccco3)c12)c1ccco1,15488.4,4.809993444
CHEMBL3264932,CCn1c(CCCc2ccc(-c3ccc(NS(=O)(=O)c4ccccc4)cn3)cc2)nn(Cc2ccc(C(C)(C)C)cc2)c1=O,15200,4.818156412
CHEMBL204642,C=C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@]2(C)O,25,7.602059991
CHEMBL426085,Oc1ccc(-c2ccc3c(Cl)c(O)ccc3c2)cc1Cl,32,7.494850022
CHEMBL363425,Oc1ccc2cc(-c3ccc(O)c(F)c3)cc(F)c2c1,1.5,8.823908741
CHEMBL426626,Oc1cc(Br)c2oc(-c3ccc(O)c(C(F)(F)F)c3)nc2c1,166,6.779891912
CHEMBL3578276,C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccccc2)(c2nc3cc(NS(C)(=O)=O)ccc3[nH]2)C1=O,12000,4.920818754
